38.70755,-9.13649,1.097,17:36:45
38.70867,-9.13696,6.023,17:37:25
38.70960,-9.13732,9.025,17:38:05
38.71099,-9.13782,8.007,17:38:45
38.71238,-9.13834,14.063,17:39:25
38.71208,-9.13964,29.020,17:40:05
38.71102,-9.13970,27.013,17:40:45
38.71096,-9.13971,26.053,17:41:25
38.71065,-9.14208,40.053,17:42:05
38.71049,-9.14295,44.059,17:42:45
38.71032,-9.14384,47.053,17:43:25
38.71012,-9.14527,43.026,17:44:05
38.71018,-9.14558,44.047,17:44:45
38.71031,-9.14616,44.011,17:45:25
38.71039,-9.14667,48.007,17:46:05
38.70983,-9.14733,45.056,17:46:45
38.70969,-9.14758,45.043,17:47:25
38.70958,-9.14721,38.096,17:48:05
38.70947,-9.14668,36.086,17:48:45
38.70943,-9.14634,35.096,17:49:25
38.71077,-9.14583,49.072,17:50:05
38.71075,-9.14523,50.016,17:50:45
38.71063,-9.14471,50.065,17:51:25
38.71076,-9.14367,50.068,17:52:05
38.71083,-9.14306,44.014,17:52:45
38.71063,-9.14298,44.007,17:53:25
38.71207,-9.14297,56.060,17:54:05
38.71299,-9.14328,61.017,17:54:45
38.71434,-9.14418,61.070,17:55:25
38.71541,-9.14478,64.020,17:56:05
38.71573,-9.14453,55.090,17:56:45
38.71557,-9.14441,59.076,17:57:25
38.71511,-9.14419,57.030,17:58:05
38.71487,-9.14408,57.021,17:58:45
38.71434,-9.14411,61.041,17:59:25
38.71413,-9.14399,59.005,18:00:05
38.71510,-9.14350,41.007,18:00:45
38.71573,-9.14322,33.026,18:01:25
38.71617,-9.14269,27.033,18:02:05
38.71662,-9.14193,19.096,18:02:45
38.71648,-9.14182,20.086,18:03:25
38.71690,-9.14120,16.036,18:04:05
38.71649,-9.14080,14.072,18:04:45
38.71578,-9.14009,18.096,18:05:25
38.71512,-9.13960,21.079,18:06:05
38.71493,-9.13926,22.005,18:06:45
38.71505,-9.13862,26.025,18:07:25
38.71495,-9.13816,29.007,18:08:05
38.71484,-9.13778,27.021,18:08:45
38.71479,-9.13763,27.038,18:09:25
38.71521,-9.13714,31.011,18:10:05
38.71497,-9.13643,29.051,18:10:45
38.71492,-9.13633,29.061,18:11:25
38.71414,-9.13646,26.017,18:12:05
38.71411,-9.13621,29.091,18:12:45
38.71480,-9.13604,29.014,18:13:25
38.71527,-9.13580,30.054,18:14:05
38.71527,-9.13555,32.009,18:14:45
38.71523,-9.13543,32.007,18:15:25
38.71519,-9.13536,35.095,18:16:05
38.71511,-9.13536,38.072,18:16:45
38.71495,-9.13564,34.025,18:17:25
38.71468,-9.13574,32.075,18:18:05
38.71418,-9.13570,33.095,18:18:45
38.71409,-9.13564,39.091,18:19:25
38.71403,-9.13566,39.045,18:20:05
38.71376,-9.13581,34.012,18:20:45
38.71362,-9.13588,35.032,18:21:25
38.71338,-9.13578,35.005,18:22:05
38.71321,-9.13573,35.007,18:22:45
38.71293,-9.13576,34.085,18:23:25
38.71272,-9.13574,34.092,18:24:05
38.71264,-9.13573,34.075,18:24:45
38.71268,-9.13550,39.085,18:25:25
38.71236,-9.13484,50.085,18:26:05
38.71227,-9.13468,45.041,18:26:45
38.71223,-9.13458,45.065,18:27:25
38.71197,-9.13446,44.029,18:28:05
38.71181,-9.13429,49.000,18:28:45
38.71167,-9.13402,48.020,18:29:25
38.71158,-9.13354,53.007,18:30:05
38.71152,-9.13305,54.046,18:30:45
38.71140,-9.13290,57.063,18:31:25
38.71124,-9.13214,55.026,18:32:05
38.71110,-9.13184,57.026,18:32:45
38.71142,-9.13107,61.056,18:33:25
38.71155,-9.13078,59.022,18:34:05
38.71152,-9.13067,56.056,18:34:45
38.71169,-9.13052,56.038,18:35:25
38.71164,-9.13030,51.070,18:36:05
38.71180,-9.13048,56.017,18:36:45
38.71208,-9.13031,49.007,18:37:25
38.71236,-9.13055,51.017,18:38:05
38.71253,-9.13067,51.024,18:38:45
